date,base_nav,timed_nav
2020-01-05,1.0,1.0
2020-01-06,1.0,1.0
2020-01-07,1.0,1.0
2020-01-08,0.9999897017630581,0.9999897017630581
2020-01-09,1.0000205964738835,1.0000205964738835
2020-01-10,1.0000334467300682,1.0000334467300682
2020-01-13,1.0000411591377782,1.0000411591377782
2020-01-14,1.000046296986253,1.000046296986253
2020-01-15,1.0000539841422618,1.0000539841422618
2020-01-16,1.0000591023740335,1.0000591023740335
2020-01-17,1.0000769378386358,1.0000769378386358
2020-01-20,1.0000769378386358,1.0000769378386358
2020-01-21,1.000077055503964,1.000077055503964
2020-01-22,1.0000871253719126,1.0000871253719126
2020-01-23,1.0000896354848168,1.0000896354848168
2020-01-24,1.0000393171934892,1.0000393171934892
2020-01-27,0.9999385708751536,0.9999385708751536
2020-01-28,1.0002796172378632,1.0002796172378632
2020-01-29,1.000332695561946,1.000332695561946
2020-01-30,1.0003479065133891,1.0003479065133891
2020-01-31,1.000130910398725,1.000130910398725
2020-02-03,1.000398880720531,1.000398880720531
2020-02-04,1.0004735124571693,1.0004735124571693
2020-02-05,1.0004759869447406,1.0004759869447406
2020-02-06,1.0004863505594157,1.0004863505594157
2020-02-07,1.0004993050777595,1.0004993050777595
2020-02-10,1.000524353987958,1.000524353987958
2020-02-11,1.000544415895328,1.000544415895328
2020-02-12,1.00054943023321,1.00054943023321
2020-02-13,1.0005519396800722,1.0005519396800722
2020-02-14,1.0005816677669344,1.0005816677669344
2020-02-17,1.0005816677669344,1.0005816677669344
2020-02-18,1.0005915514441894,1.0005915514441894
2020-02-19,1.0006039037357983,1.0006039037357983
2020-02-20,1.0006039037357983,1.0006039037357983
2020-02-21,1.0005916064865883,1.0005916064865883
2020-02-24,0.9993559370543281,0.9993937919453767
2020-02-25,0.9941498534325158,0.9954656894453668
2020-02-26,0.9935500529514276,0.9949037438553273
2020-02-27,0.9874460040459968,0.9924958465118866
2020-02-28,0.9853762425506171,0.990649472497966
2020-03-02,0.9892312677623591,0.9961524805122596
2020-03-03,0.9895883327491348,0.9970886154198236
2020-03-04,0.9895505787867986,0.9965063725763345
2020-03-05,0.9920477487549476,1.0011242408846865
2020-03-06,0.991724712539848,1.0006449012431589
2020-03-09,0.9829313183532206,0.9859705759234755
2020-03-10,0.9939487027860233,1.0047537790401468
2020-03-11,0.983607488042727,0.987173403617031
2020-03-12,0.9709342498081113,0.9648364835955272
2020-03-13,0.9913851854680399,0.9906437903994304
2020-03-16,0.9807993750661408,0.9855425844305404
2020-03-17,0.9959799691495371,0.9940430330109916
2020-03-18,0.9861549809433882,0.988573371850971
2020-03-19,0.9871285192588745,0.9892115089105195
2020-03-20,0.982050510752564,0.9858312557936102
2020-03-23,0.9817993447223995,0.9856777558614347
2020-03-24,0.9860871300545279,0.9884946741564544
2020-03-25,0.9879766455252974,0.9896473768673695
2020-03-26,0.9800398074273035,0.9859417425922996
2020-03-27,0.9897160431423918,0.9900008644362773
2020-03-30,0.9898292533022506,0.9900395969973562
2020-03-31,0.9945676986816797,0.9921301894870904
2020-04-01,0.9961864964490551,0.9926565100461684
2020-04-02,0.9978842032020788,0.9936646886802581
2020-04-03,0.9999408633264948,0.9940265613029006
2020-04-06,0.9957436076209274,0.9936931027763706
2020-04-07,0.9965802831120758,0.9937716156602662
2020-04-08,0.9868883868713623,0.9928885862439601
2020-04-09,0.9842456069018682,0.992611802909661
2020-04-10,0.9842456069018682,0.992611802909661
2020-04-13,0.9853610008926993,0.9931271216163847
2020-04-14,0.9851730812529397,0.9930403016168824
2020-04-15,0.9856337874665438,0.9932531506479204
2020-04-16,0.9856337874665438,0.9932531506479204
2020-04-17,0.985562847910738,0.9932531506479204
2020-04-20,0.9863930725421106,0.9931944486274924
2020-04-21,0.9851794705312125,0.9922977246602644
2020-04-22,0.9873244312086127,0.9936559679605126
2020-04-23,0.987699914022445,0.9939211391562391
2020-04-24,0.9885088997237179,0.9947706403016184
2020-04-27,0.9886439785718456,0.9949330628395078
2020-04-28,0.9889047878908528,0.9952518897043693
2020-04-29,0.9886194886771857,0.9948848281273469
2020-04-30,0.9890297355572367,0.9954149391864408
2020-05-01,0.9883754701381605,0.9945388231593244
2020-05-04,0.9891935134984318,0.9956289560766787
2020-05-05,0.9898301072337357,0.9964791506751486
2020-05-06,0.9900514037263476,0.9967753597273104
2020-05-07,0.9901067713941327,0.9968496716441423
2020-05-08,0.9902606537456797,0.9970536633982813
2020-05-11,0.9904491961287551,0.9973027821900443
2020-05-12,0.9902319775251393,0.9970269067777446
2020-05-13,0.9899052535269526,0.9966072298928502
2020-05-14,0.9906076129507818,0.9975107171383621
2020-05-15,0.991022890733734,0.9980525605136352
2020-05-18,0.99022851715333,0.9970044996537222
2020-05-19,0.9913373325785233,0.9985169970760045
2020-05-20,0.9911546149236853,0.9982568244200071
2020-05-21,0.9914660288227581,0.9987182120757999
2020-05-22,0.9917100668559992,0.9991156233873655
2020-05-25,0.9917100668559992,0.9991156233873655
2020-05-26,0.9917990788166783,0.9992646235798839
2020-05-27,0.9917654952398346,0.9992132813402222
2020-05-28,0.9918633623007997,0.9993649182194573
2020-05-29,0.9921366680248132,0.9997627671859888
2020-06-01,0.9922319652514057,0.9998999973897017
